location,hour_of_day,day_of_week,crime_type,incident_count_last_24h,severity_score,is_hotspot
frankford,22,1,other,0,0.0,0
franklin square,19,4,other,0,0.0,0
locust point,22,1,other,0,0.0,0
mondawmin,18,2,assault,0,0.0,1
greektown,2,4,assault,0,0.4,1
unknown,10,1,other,9,0.0,0
unknown,12,3,other,14,0.0,0
unknown,16,6,other,3,0.0,0
unknown,2,2,other,4,0.0,0
unknown,19,1,other,4,0.0,0
patterson park neighborhood,20,4,other,0,0.4,0
bridgeview/greenlawn,23,2,other,0,0.0,0
unknown,0,1,other,7,0.0,0
unknown,3,3,other,11,0.0,0
unknown,15,3,other,10,0.0,0
unknown,21,2,other,3,0.0,0
penn north,16,1,other,0,0.0,0
mount vernon,23,3,other,2,0.0,0
unknown,21,0,other,12,0.0,0
washington hill,15,2,other,0,0.0,0
unknown,0,6,assault,11,0.4,1
penn north,18,4,other,0,0.0,0
unknown,5,0,other,5,0.0,0
woodbourne-mccabe,9,3,other,0,0.0,0
unknown,10,5,other,14,0.0,0
central park heights,15,4,other,0,0.0,0
unknown,21,4,assault,10,0.4,1
harlem park,1,3,other,0,0.0,0
east baltimore midway,15,3,other,1,0.0,0
unknown,23,6,other,6,0.0,0
hopkins bayview,5,4,other,0,0.0,0
shipley hill,19,1,other,0,0.0,0
mount vernon,15,1,other,3,0.0,0
park circle,22,2,other,2,0.0,0
mount vernon,4,0,assault,1,0.4,1
curtis bay,5,2,other,0,0.0,0
unknown,18,0,other,8,0.4,0
shipley hill,7,4,assault,0,0.4,1
unknown,6,0,other,2,0.0,0
unknown,23,2,other,10,0.4,0
unknown,0,5,other,2,0.0,0
unknown,0,4,other,11,0.0,0
brooklyn,18,1,other,0,0.0,0
unknown,20,2,other,4,0.0,0
franklin square,0,1,other,1,0.0,0
unknown,13,4,other,5,0.4,0
ellwood park/monument,22,2,other,0,0.0,0
fells point,14,0,other,1,0.0,0
unknown,15,3,other,7,0.0,0
graceland park,21,0,other,0,0.0,0
unknown,10,3,other,7,0.0,0
middle east,7,1,assault,0,0.4,1
inner harbor,0,5,other,0,0.0,0
penn north,23,5,other,1,0.0,0
mount vernon,15,5,other,6,0.0,0
morgan state university,18,1,other,0,0.0,0
unknown,16,0,other,9,0.0,0
unknown,15,1,other,10,0.0,0
downtown,15,2,other,3,0.0,0
unknown,15,1,other,9,0.0,0
belair-edison,4,2,other,0,0.4,0
belair-edison,0,0,assault,1,0.0,1
charles north,22,4,other,1,0.0,0
unknown,15,3,other,13,0.0,0
northwest community action,22,2,other,0,0.0,0
unknown,15,4,other,8,0.0,0
unknown,22,4,other,9,0.0,0
unknown,13,3,other,3,0.0,0
unknown,12,3,other,7,0.4,0
unknown,16,1,other,12,0.0,0
unknown,18,2,assault,10,0.4,1
belair-edison,9,3,assault,0,0.0,1
unknown,18,2,other,5,0.0,0
unknown,23,2,other,5,0.0,0
unknown,4,4,other,7,0.4,0
unknown,12,3,other,8,0.0,0
boyd-booth,17,1,other,0,0.0,0
waltherson,2,1,other,0,0.0,0
central park heights,14,0,assault,0,0.4,1
unknown,13,5,other,10,0.0,0
federal hill,16,4,other,0,0.4,0
unknown,2,2,other,7,0.4,0
upton,23,5,other,0,0.0,0
unknown,7,1,other,8,0.4,0
washington village/pigtown,19,5,other,0,0.0,0
washington village/pigtown,1,4,other,0,0.0,0
darley park,17,2,other,0,0.0,0
unknown,13,2,other,7,0.0,0
upton,17,3,other,0,0.0,0
unknown,19,1,other,6,0.0,0
unknown,1,4,other,11,0.0,0
rosebank,6,0,other,0,0.0,0
unknown,15,1,other,10,0.0,0
unknown,7,1,other,6,0.0,0
unknown,18,3,other,5,0.0,0
hopkins bayview,3,6,other,0,0.4,0
gwynns falls,14,1,other,0,0.0,0
unknown,16,4,other,4,0.4,0
central park heights,3,1,other,0,0.0,0
pleasant view gardens,10,5,assault,0,0.4,1
unknown,22,0,other,9,0.0,0
east baltimore midway,18,6,other,0,0.4,0
shipley hill,22,4,other,0,0.0,0
biddle street,3,3,other,0,0.0,0
patterson park neighborhood,9,6,assault,0,0.4,1
unknown,5,5,other,12,0.0,0
sandtown-winchester,3,2,other,0,0.0,0
cherry hill,22,5,assault,0,0.4,1
unknown,15,1,other,3,0.0,0
unknown,15,1,other,4,0.4,0
unknown,13,3,other,4,0.0,0
druid heights,17,2,other,0,0.0,0
washington village/pigtown,14,1,other,0,0.0,0
langston hughes,7,6,other,0,0.0,0
pleasant view gardens,23,0,other,0,0.4,0
unknown,6,4,other,15,0.0,0
reservoir hill,23,2,other,0,0.0,0
saint josephs,16,0,other,0,0.0,0
druid heights,18,1,other,0,0.4,0
dunbar-broadway,13,2,other,0,0.0,0
unknown,20,6,other,2,0.0,0
unknown,18,2,other,14,0.4,0
sandtown-winchester,18,6,other,1,0.0,0
unknown,14,0,other,7,0.0,0
sandtown-winchester,18,2,other,0,0.5,0
jonestown,0,4,other,0,0.0,0
bridgeview/greenlawn,16,6,assault,0,0.4,1
unknown,16,2,other,11,0.0,0
unknown,23,0,other,7,0.0,0
reservoir hill,4,5,other,1,0.0,0
unknown,9,6,other,3,0.4,0
unknown,16,1,other,5,0.0,0
shipley hill,1,0,other,0,0.0,0
brooklyn,18,0,other,0,0.0,0
wrenlane,23,5,other,0,0.0,0
unknown,9,1,other,11,0.0,0
unknown,14,4,other,7,0.0,0
coldstream homestead montebello,17,4,other,1,0.0,0
unknown,4,5,other,9,0.0,0
unknown,21,6,other,2,0.0,0
unknown,21,6,other,5,0.4,0
west arlington,22,3,other,0,0.0,0
downtown,7,3,other,0,0.0,0
berea,21,2,other,0,0.0,0
barclay,21,4,other,0,0.0,0
concerned citizens of forest park,20,4,other,0,0.0,0
unknown,15,0,other,4,0.4,0
oliver,2,2,other,0,0.0,0
armistead gardens,17,4,other,0,0.0,0
baltimore highlands,11,1,other,0,0.0,0
sandtown-winchester,19,3,other,0,0.0,0
unknown,15,1,other,6,0.4,0
poppleton,22,6,other,0,0.0,0
poppleton,20,1,assault,0,0.4,1
brooklyn,23,0,other,0,0.0,0
penrose/fayette street outreach,17,3,other,0,0.0,0
poppleton,21,0,other,0,0.0,0
unknown,0,2,assault,12,0.4,1
unknown,12,3,other,6,0.0,0
new southwest/mount clare,16,2,other,0,0.0,0
woodmere,15,3,other,0,0.0,0
belair-edison,23,2,other,0,0.0,0
shipley hill,18,2,other,1,0.0,0
biddle street,20,4,other,0,0.5,0
unknown,19,2,other,1,0.0,0
unknown,17,1,other,6,0.0,0
bayview,10,6,assault,0,0.4,1
park circle,2,2,other,0,0.0,0
brooklyn,17,5,other,0,0.0,0
downtown,7,6,other,1,0.0,0
unknown,16,3,other,10,0.0,0
berea,17,1,other,1,0.0,0
unknown,11,1,other,12,0.4,0
hanlon-longwood,14,6,other,0,0.0,0
unknown,11,1,other,8,0.0,0
unknown,21,0,other,1,0.4,0
orangeville,3,1,other,0,0.0,0
brooklyn,17,3,other,0,0.0,0
central park heights,7,1,other,2,0.0,0
unknown,6,2,other,9,0.0,0
unknown,0,4,other,6,0.0,0
central park heights,1,3,assault,1,0.0,1
unknown,20,0,other,9,0.0,0
johnston square,6,6,other,0,0.0,0
penn north,17,0,other,0,0.0,0
berea,8,6,other,1,0.0,0
unknown,17,2,assault,9,0.4,1
unknown,4,3,other,6,0.4,0
cherry hill,0,0,other,0,0.0,0
unknown,15,2,other,11,0.0,0
unknown,11,5,other,8,0.0,0
washington hill,20,4,other,0,0.0,0
harlem park,15,1,other,0,0.0,0
unknown,1,5,other,4,0.0,0
unknown,16,4,other,5,0.0,0
mondawmin,19,1,other,0,0.0,0
patterson place,0,1,other,0,0.0,0
midtown-edmondson,16,5,other,0,0.4,0
unknown,16,1,other,1,0.4,0
middle east,20,3,other,0,0.0,0
mount vernon,13,6,other,3,0.0,0
curtis bay,16,0,other,0,0.0,0
harlem park,23,3,other,0,0.0,0
unknown,10,1,other,6,0.0,0
central park heights,21,2,other,0,0.0,0
care,16,5,other,0,0.0,0
unknown,15,2,other,12,0.0,0
unknown,9,4,other,12,0.0,0
unknown,16,3,other,10,0.0,0
patterson park neighborhood,4,3,other,0,0.0,0
brooklyn,14,1,other,0,0.0,0
gay street,1,4,assault,0,0.4,1
unknown,12,2,other,8,0.0,0
unknown,20,4,other,10,0.4,0
druid heights,22,3,other,0,0.0,0
unknown,1,5,other,5,0.5,0
mcelderry park,13,4,other,0,0.0,0
unknown,14,6,other,10,0.0,0
hampden,18,1,assault,0,0.0,1
curtis bay,18,3,other,0,0.0,0
sandtown-winchester,22,4,other,0,0.0,0
inner harbor,7,0,other,0,0.0,0
care,19,5,other,0,0.0,0
unknown,11,2,other,10,0.0,0
unknown,18,3,other,6,0.0,0
unknown,21,2,other,8,0.0,0
dickeyville,23,3,other,0,0.0,0
unknown,6,1,other,8,0.0,0
unknown,13,4,other,4,0.4,0
unknown,20,6,other,9,0.0,0
unknown,10,5,other,10,0.4,0
unknown,12,2,other,13,0.0,0
brooklyn,12,4,other,1,0.0,0
perkins homes,13,3,other,0,0.0,0
berea,0,5,other,0,0.0,0
frankford,23,6,other,1,0.0,0
unknown,9,1,other,11,0.0,0
unknown,9,5,other,4,0.0,0
waltherson,14,0,assault,0,0.4,1
unknown,9,6,other,7,0.4,0
unknown,17,1,other,10,0.0,0
winchester,7,3,other,0,0.0,0
unknown,18,4,other,14,0.0,0
east baltimore midway,21,4,other,0,0.0,0
unknown,19,6,other,3,0.0,0
unknown,17,0,other,10,0.0,0
unknown,3,1,other,7,0.0,0
unknown,15,1,other,13,0.0,0
unknown,21,0,other,9,0.0,0
new northwood,8,1,other,0,0.0,0
upton,3,3,other,0,0.0,0
unknown,19,1,other,12,0.0,0
downtown,2,1,assault,0,0.4,1
unknown,17,4,other,10,0.4,0
unknown,8,0,other,5,0.0,0
unknown,12,1,other,5,0.4,0
poppleton,0,2,other,1,0.0,0
richnor springs,6,6,other,0,0.0,0
unknown,18,1,other,9,0.0,0
unknown,22,1,other,8,0.0,0
orchard ridge,19,1,other,0,0.0,0
brooklyn,17,4,other,0,0.0,0
brooklyn,0,5,other,1,0.0,0
unknown,21,6,other,15,0.4,0
unknown,18,1,other,9,0.0,0
middle branch/reedbird parks,6,5,other,1,0.5,0
unknown,3,6,other,1,0.0,0
rognel heights,16,2,other,0,0.0,0
medford,17,0,other,0,0.0,0
coldstream homestead montebello,15,4,other,0,0.0,0
unknown,5,1,other,17,0.4,0
unknown,23,5,other,9,0.0,0
unknown,18,1,other,9,0.0,0
downtown,1,4,other,0,0.0,0
federal hill,13,5,other,0,0.0,0
unknown,7,1,other,7,0.0,0
biddle street,14,1,other,1,0.0,0
carrollton ridge,15,3,other,0,0.0,0
poppleton,13,0,other,0,0.0,0
unknown,2,0,assault,0,0.4,1
unknown,10,0,other,4,0.0,0
brooklyn,2,5,other,1,0.0,0
belair-edison,22,5,other,1,0.0,0
unknown,0,1,assault,1,0.4,1
forest park,15,4,other,0,0.0,0
unknown,13,1,other,5,0.0,0
berea,21,1,other,1,0.0,0
oliver,16,0,other,0,0.0,0
east baltimore midway,20,2,other,1,0.0,0
upton,5,6,other,2,0.0,0
patterson place,0,6,other,0,0.0,0
unknown,14,0,other,6,0.4,0
saint helena,10,2,other,0,0.0,0
mount vernon,20,2,other,3,0.0,0
sandtown-winchester,22,2,other,0,0.0,0
unknown,14,3,other,6,0.4,0
unknown,7,1,other,7,0.0,0
clifton park,19,5,other,0,0.0,0
unknown,12,3,other,7,0.4,0
unknown,20,2,other,5,0.4,0
glenham-belhar,14,6,other,0,0.0,0
patterson park neighborhood,14,2,other,0,0.0,0
oliver,17,1,other,0,0.0,0
hamilton hills,21,3,other,0,0.0,0
druid heights,20,1,other,0,0.0,0
unknown,23,0,other,8,0.0,0
unknown,18,1,other,3,0.4,0
unknown,2,2,other,15,0.0,0
hunting ridge,6,5,other,1,0.0,0
unknown,18,3,other,7,0.4,0
mcelderry park,23,0,other,0,0.4,0
unknown,21,0,assault,6,0.4,1
downtown,20,4,other,0,0.0,0
unknown,17,3,other,6,0.0,0
unknown,10,1,other,8,0.0,0
franklin square,22,1,other,0,0.0,0
reservoir hill,5,1,property,0,0.0,0
northwest community action,0,2,other,0,0.0,0
union square,18,2,other,0,0.0,0
old goucher,10,2,assault,0,0.4,1
unknown,12,2,other,6,0.0,0
unknown,15,4,other,5,0.4,0
unknown,15,2,other,12,0.0,0
central park heights,15,3,other,0,0.0,0
unknown,16,6,other,5,0.4,0
unknown,18,3,other,9,0.0,0
unknown,19,2,other,12,0.0,0
charles north,0,4,other,0,0.0,0
rognel heights,4,0,property,0,0.0,0
unknown,1,3,other,8,0.0,0
unknown,20,0,other,8,0.0,0
east baltimore midway,20,4,other,1,0.0,0
hampden,1,1,assault,0,0.0,1
unknown,5,5,other,4,0.4,0
central park heights,0,3,other,0,0.5,0
coldstream homestead montebello,17,4,other,0,0.0,0
union square,18,6,other,1,0.0,0
unknown,16,3,other,11,0.0,0
frankford,21,4,other,0,0.0,0
washington village/pigtown,15,4,other,0,0.4,0
poppleton,15,1,other,0,0.0,0
belair-edison,23,2,assault,0,0.4,1
saint josephs,17,6,other,1,0.4,0
curtis bay,12,0,other,0,0.0,0
unknown,3,3,other,9,0.4,0
unknown,7,5,other,7,0.4,0
barclay,23,3,other,0,0.0,0
unknown,21,3,other,8,0.0,0
forest park,10,4,other,0,0.0,0
central park heights,20,4,other,0,0.0,0
brooklyn,1,1,other,0,0.0,0
madison-eastend,23,5,other,0,0.0,0
mcelderry park,17,1,other,0,0.0,0
homeland,18,5,other,0,0.0,0
unknown,22,2,other,8,0.0,0
unknown,19,1,other,12,0.0,0
dunbar-broadway,15,5,other,0,0.0,0
fairfield area,2,5,other,0,0.0,0
unknown,11,2,other,10,0.4,0
central park heights,17,3,other,0,0.0,0
coldstream homestead montebello,20,2,other,1,0.0,0
washington hill,16,2,other,0,0.0,0
unknown,0,6,other,3,0.4,0
mount vernon,4,2,other,1,0.0,0
unknown,22,1,other,7,0.0,0
unknown,17,6,other,3,0.4,0
pen lucy,19,3,other,0,0.0,0
unknown,1,4,other,6,0.4,0
baltimore highlands,4,5,other,0,0.4,0
unknown,16,1,other,9,0.0,0
unknown,17,1,other,8,0.0,0
druid heights,5,5,other,0,0.0,0
ellwood park/monument,18,3,other,0,0.0,0
mcelderry park,14,0,other,0,0.0,0
carrollton ridge,22,3,other,2,0.0,0
unknown,8,2,other,8,0.0,0
sandtown-winchester,12,3,other,2,0.0,0
frankford,23,4,other,0,0.0,0
pimlico good neighbors,16,0,other,0,0.0,0
south baltimore,5,5,other,0,0.0,0
charles village,20,3,other,0,0.0,0
unknown,9,2,other,8,0.4,0
dorchester,21,1,other,0,0.0,0
belair-edison,0,2,other,0,0.0,0
mount vernon,4,6,other,4,0.0,0
mondawmin,15,0,other,0,0.0,0
reservoir hill,21,5,other,0,0.0,0
central park heights,16,4,other,0,0.0,0
unknown,3,0,other,7,0.0,0
unknown,21,0,other,1,0.0,0
belair-edison,7,2,other,0,0.4,0
unknown,13,2,other,11,0.0,0
oaklee,4,1,assault,0,0.4,1
millhill,1,6,other,0,0.0,0
curtis bay,5,6,other,0,0.0,0
east baltimore midway,7,5,other,0,0.0,0
downtown,3,6,other,0,0.0,0
brooklyn,23,3,other,0,0.0,0
barclay,17,4,other,0,0.0,0
hunting ridge,22,5,other,0,0.0,0
unknown,13,1,other,11,0.0,0
unknown,11,1,other,16,0.4,0
unknown,22,0,other,9,0.0,0
poppleton,18,2,other,1,0.0,0
waltherson,4,3,other,0,0.0,0
unknown,21,6,other,3,0.0,0
unknown,16,0,other,3,0.0,0
downtown,15,0,other,0,0.4,0
unknown,12,0,other,3,0.0,0
mcelderry park,12,2,other,1,0.0,0
oldtown,17,5,other,0,0.4,0
unknown,19,3,other,7,0.0,0
unknown,22,2,other,10,0.0,0
coldstream homestead montebello,15,3,other,0,0.0,0
unknown,1,0,other,2,0.0,0
east baltimore midway,14,0,other,2,0.0,0
unknown,14,1,other,13,0.0,0
arlington,6,3,other,0,0.0,0
east baltimore midway,22,2,other,0,0.0,0
allendale,22,6,other,0,0.0,0
franklin square,6,6,other,0,0.0,0
cherry hill,15,2,assault,0,0.4,1
unknown,19,4,other,8,0.0,0
frankford,1,2,other,0,0.0,0
unknown,20,1,other,7,0.0,0
penn north,1,5,other,0,0.0,0
upton,3,5,other,1,0.0,0
unknown,13,1,other,18,0.0,0
pulaski industrial area,2,3,other,0,0.0,0
harlem park,22,3,other,0,0.4,0
mondawmin,21,0,other,0,0.0,0
unknown,0,6,other,4,0.0,0
unknown,22,0,other,7,0.0,0
unknown,16,0,other,1,0.0,0
downtown,17,6,other,2,0.0,0
langston hughes,3,2,other,1,0.4,0
cameron village,17,2,other,0,0.0,0
downtown,22,3,other,2,0.0,0
unknown,12,0,other,4,0.4,0
o'donnell heights,21,0,other,1,0.0,0
unknown,22,3,other,8,0.0,0
penn north,13,3,other,0,0.0,0
mount vernon,15,1,other,4,0.0,0
unknown,22,0,other,2,0.0,0
unknown,10,5,other,6,0.0,0
cherry hill,19,4,other,0,0.0,0
midtown-edmondson,14,3,other,0,0.0,0
allendale,22,5,assault,0,0.4,1
unknown,5,3,other,4,0.0,0
unknown,1,5,other,15,0.0,0
unknown,21,2,other,8,0.0,0
penn north,17,1,other,0,0.0,0
unknown,7,4,other,10,0.0,0
unknown,0,4,other,10,0.0,0
unknown,16,2,other,10,0.4,0
unknown,17,0,other,2,0.0,0
east baltimore midway,21,1,other,0,0.0,0
unknown,5,5,other,7,0.0,0
unknown,2,1,other,4,0.4,0
highlandtown,7,2,other,0,0.0,0
unknown,0,2,assault,9,0.0,1
yale heights,0,1,other,0,0.0,0
canton,20,6,other,0,0.0,0
irvington,0,6,other,0,0.0,0
reisterstown station,2,6,other,0,0.0,0
unknown,5,6,other,4,0.0,0
harwood,10,1,other,0,0.0,0
unknown,12,3,assault,10,0.4,1
shipley hill,12,0,assault,1,0.4,1
washington village/pigtown,21,6,other,0,0.4,0
glen,4,2,other,0,0.0,0
unknown,16,0,other,1,0.4,0
mondawmin,1,0,other,0,0.0,0
patterson place,9,5,other,0,0.0,0
oliver,20,2,other,1,0.0,0
hollins market,21,0,other,0,0.0,0
unknown,12,3,other,11,0.0,0
unknown,3,2,other,16,0.0,0
broadway east,13,4,other,0,0.0,0
berea,23,1,other,0,0.0,0
gay street,21,5,other,0,0.0,0
towanda-grantley,4,6,other,0,0.0,0
harwood,6,3,other,0,0.0,0
unknown,16,0,other,8,0.0,0
unknown,11,4,other,12,0.0,0
unknown,22,4,other,7,0.4,0
hawkins point,22,5,other,0,0.0,0
dunbar-broadway,17,6,assault,0,0.4,1
downtown,20,3,other,1,0.0,0
coldstream homestead montebello,2,2,other,1,0.0,0
unknown,13,5,assault,8,0.4,1
o'donnell heights,21,0,other,0,0.0,0
mount vernon,21,3,other,0,0.0,0
curtis bay,3,5,other,0,0.0,0
unknown,20,5,other,5,0.0,0
pimlico good neighbors,0,2,other,0,0.0,0
coppin heights/ash-co-east,21,1,other,0,0.0,0
mondawmin,22,3,other,0,0.0,0
baltimore highlands,21,5,other,2,0.0,0
coldstream homestead montebello,15,4,other,0,0.0,0
orangeville industrial area,3,4,other,0,0.5,0
penrose/fayette street outreach,9,0,other,0,0.4,0
gay street,0,4,other,1,0.0,0
curtis bay,14,5,other,0,0.0,0
canton,20,3,other,0,0.0,0
unknown,20,1,other,12,0.0,0
unknown,8,2,other,8,0.0,0
druid heights,3,6,other,0,0.0,0
coldstream homestead montebello,22,5,assault,1,0.4,1
greenmount west,4,5,other,0,0.0,0
highlandtown,20,2,other,0,0.4,0
unknown,14,2,other,11,0.4,0
gay street,0,3,other,0,0.0,0
poppleton,2,5,other,0,0.5,0
unknown,2,3,other,16,0.0,0
cherry hill,1,0,other,0,0.4,0
unknown,8,6,other,2,0.0,0
westport,21,1,other,0,0.0,0
druid heights,18,1,other,0,0.4,0
unknown,13,1,other,7,0.0,0
unknown,6,0,other,7,0.0,0
unknown,18,6,other,6,0.0,0
waltherson,20,2,other,0,0.0,0
rosemont homeowners/tenants,2,4,other,0,0.4,0
unknown,9,2,other,14,0.4,0
unknown,23,2,other,5,0.0,0
broadway east,22,3,other,0,0.0,0
patterson park neighborhood,1,2,other,1,0.0,0
shipley hill,18,4,other,0,0.0,0
unknown,16,0,other,2,0.0,0
unknown,3,2,other,10,0.0,0
unknown,14,5,other,7,0.4,0
downtown,18,1,other,1,0.0,0
unknown,21,4,other,12,0.0,0
unknown,11,4,other,3,0.0,0
broadway east,20,4,other,0,0.0,0
frankford,18,2,other,0,0.0,0
unknown,0,3,other,6,0.0,0
unknown,18,0,other,5,0.0,0
unknown,7,4,other,6,0.0,0
unknown,0,2,other,5,0.0,0
unknown,15,2,other,7,0.0,0
sandtown-winchester,1,4,other,0,0.0,0
mondawmin,23,0,other,0,0.0,0
belair-edison,0,3,other,0,0.0,0
unknown,18,3,other,5,0.4,0
unknown,5,5,other,8,0.0,0
dorchester,0,2,other,0,0.0,0
unknown,23,2,other,10,0.0,0
care,21,3,other,0,0.0,0
unknown,5,5,other,6,0.0,0
woodbourne-mccabe,0,5,other,0,0.0,0
coldstream homestead montebello,16,0,other,1,0.0,0
gay street,11,1,assault,0,0.4,1
downtown,14,0,other,0,0.0,0
biddle street,21,4,other,0,0.0,0
locust point industrial area,6,3,other,0,0.0,0
unknown,4,3,other,12,0.0,0
unknown,1,0,other,8,0.0,0
